person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,PD,assigned_interest_rate,expected_profit
22,60350,MORTGAGE,6.0,MEDICAL,D,35000,1,0.49,N,3,0.00019728316820603173,7.002959247523091,2446.409242005246
27,258000,RENT,11.0,EDUCATION,E,35000,1,0.14,N,10,0.0005444599794692706,7.008166899692039,2440.0892720811457
25,365000,MORTGAGE,7.0,VENTURE,B,35000,0,0.1,N,2,0.000547974335336469,7.008219615030047,2440.025290648547
24,54400,RENT,8.0,MEDICAL,C,35000,1,0.55,Y,4,0.000640772194068552,7.009611582911028,2438.3357904756776
36,408000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,35000,0,0.09,N,13,0.0007401551009310009,7.011102326513965,2436.5263010577955
23,175000,MORTGAGE,5.0,EDUCATION,D,35000,0,0.2,N,3,0.0008422851236151151,7.012634276854227,2434.666686168
35,350000,MORTGAGE,10.0,VENTURE,D,35000,0,0.1,N,7,0.001020615694344738,7.015309235415171,2431.419325666849
27,185232,MORTGAGE,10.0,PERSONAL,A,35000,0,0.19,N,8,0.0011948070455529212,7.017922105683294,2428.2470170605875
24,74000,OWN,8.0,DEBTCONSOLIDATION,G,35000,1,0.47,N,3,0.0012650921074170002,7.018976381611255,2426.966921240299
28,108800,MORTGAGE,3.0,MEDICAL,E,35000,1,0.27,Y,7,0.001886711265460885,7.028300668981913,2415.643166651766
31,128000,MORTGAGE,15.0,DEBTCONSOLIDATION,D,35000,1,0.27,N,6,0.0020191809467939776,7.03028771420191,2413.229502036946
29,160000,RENT,4.0,VENTURE,C,35000,0,0.22,Y,8,0.0022562744773728417,7.0338441171605925,2408.9090779455983
32,230000,RENT,16.0,HOMEIMPROVEMENT,A,35000,0,0.15,N,9,0.0023201045955964683,7.034801568933947,2407.745836212138
27,100000,RENT,1.0,DEBTCONSOLIDATION,C,35000,1,0.35,N,9,0.002556431252187953,7.038346468782819,2403.4386406712565
